rank,feature,coefficient,abs_importance
355,categorical__order_city_Holguín,-0.14228516999901875,0.14228516999901875
356,categorical__order_month_2016-02,0.14010268019510222,0.14010268019510222
357,categorical__order_country_Nueva Zelanda,0.1379565466083364,0.1379565466083364
358,categorical__order_city_Shanghái,0.13504377645142765,0.13504377645142765
359,categorical__order_country_Canada,-0.13407385234897695,0.13407385234897695
360,categorical__order_region_Canada,-0.13407385234897695,0.13407385234897695
361,categorical__department_name_Technology,0.1340678050370917,0.1340678050370917
362,categorical__order_city_Jartum,-0.13348874997613536,0.13348874997613536
363,categorical__order_country_India,0.1320623451509044,0.1320623451509044
364,categorical__order_city_Phoenix,0.13027201605237854,0.13027201605237854
365,categorical__order_country_Uzbekistán,0.12939990289465725,0.12939990289465725
366,categorical__category_name_Boxing & MMA,-0.1288887036555866,0.1288887036555866
367,categorical__order_country_Egipto,-0.128070899078666,0.128070899078666
368,categorical__category_name_Fitness Accessories,0.12796634063789006,0.12796634063789006
369,categorical__order_city_Hermosillo,0.12604900987731193,0.12604900987731193
370,categorical__order_month_2016-04,0.12586031115999882,0.12586031115999882
371,categorical__order_month_2017-09,0.12551924201966141,0.12551924201966141
372,categorical__order_city_Camagüey,0.1251808221480118,0.1251808221480118
373,categorical__order_city_Juárez,0.12321183682877775,0.12321183682877775
374,categorical__order_country_Nigeria,0.122829413825914,0.122829413825914
375,categorical__order_month_2015-07,0.12237635797112713,0.12237635797112713
376,categorical__order_city_Bremen,-0.12219462960656147,0.12219462960656147
377,categorical__order_city_Masaya,0.12178268144970317,0.12178268144970317
378,categorical__order_month_2016-03,0.12168132156746302,0.12168132156746302
379,categorical__customer_segment_Consumer,0.12132315953397181,0.12132315953397181
380,categorical__order_city_Chihuahua,-0.1210504955636505,0.1210504955636505
381,categorical__order_city_Dallas,0.1209858864541233,0.1209858864541233
382,categorical__order_city_Lancaster,-0.12009268784864771,0.12009268784864771
383,categorical__order_city_Estelí,-0.1164731536923293,0.1164731536923293
384,categorical__order_day_of_week_Wednesday,0.11640267246524998,0.11640267246524998
385,categorical__order_month_2015-05,-0.1161505583989577,0.1161505583989577
386,categorical__customer_segment_Corporate,0.11545067819364596,0.11545067819364596
387,categorical__category_name_Hunting & Shooting,-0.11353103531540688,0.11353103531540688
388,categorical__customer_segment_Home Office,0.11287644410322475,0.11287644410322475
389,categorical__order_city_San Salvador,0.11195792545657393,0.11195792545657393
390,categorical__order_country_Singapur,-0.11189749063364969,0.11189749063364969
391,categorical__order_city_Singapur,-0.11189749063364969,0.11189749063364969
392,categorical__product_id_771,0.11158705564802267,0.11158705564802267
393,categorical__product_id_822,0.11049004780244474,0.11049004780244474
394,categorical__order_month_2016-10,0.1104860852926148,0.1104860852926148
395,categorical__order_city_Tamworth,-0.10893068815006812,0.10893068815006812
396,categorical__order_city_Santo Domingo,0.10712894729153405,0.10712894729153405
397,categorical__department_name_Apparel,-0.10676515023933368,0.10676515023933368
398,categorical__order_region_North Africa,0.10596542742039847,0.10596542742039847
399,categorical__order_city_Semarang,0.10514029006762782,0.10514029006762782
400,categorical__order_city_Tlalpan,-0.10453042408803397,0.10453042408803397
401,categorical__order_city_Madrid,0.10451676962032182,0.10451676962032182
402,categorical__order_city_Hanover,-0.10363702098709143,0.10363702098709143
403,categorical__order_country_Noruega,-0.10012412803114851,0.10012412803114851
404,categorical__order_month_2016-11,-0.10001586969050896,0.10001586969050896
405,categorical__category_name_Cleats,-0.09990630181150542,0.09990630181150542
406,categorical__order_city_Marseille,0.09730655075859572,0.09730655075859572
407,categorical__order_month_2017-08,0.09628841041872109,0.09628841041872109
408,categorical__order_city_Mexico City,-0.09536194320987082,0.09536194320987082
409,categorical__order_city_Long Beach,-0.09459618634875612,0.09459618634875612
410,categorical__order_month_2016-09,-0.09259412866280844,0.09259412866280844
411,categorical__product_id_1352,-0.09107272265028148,0.09107272265028148
412,categorical__category_name_Consumer Electronics,-0.09107272265028148,0.09107272265028148
413,categorical__product_id_828,0.09030241518986422,0.09030241518986422
414,categorical__order_month_2015-08,0.08995687126036137,0.08995687126036137
415,categorical__order_country_infrequent_sklearn,0.08916457396371323,0.08916457396371323
416,categorical__order_month_2017-03,0.08862546917628542,0.08862546917628542
417,categorical__product_id_792,-0.08847551646564869,0.08847551646564869
418,categorical__order_month_2015-11,0.08827358303699381,0.08827358303699381
419,categorical__order_city_Guangzhou,-0.08821817277984113,0.08821817277984113
420,categorical__category_name_Baseball & Softball,0.08821803628063558,0.08821803628063558
421,categorical__order_country_Guatemala,0.08813037498978697,0.08813037498978697
422,categorical__category_name_Electronics,-0.08641002269190774,0.08641002269190774
423,categorical__category_name_Shop By Sport,-0.08636799472966326,0.08636799472966326
424,categorical__order_city_Guantánamo,0.08611718461480002,0.08611718461480002
425,categorical__order_city_Halle,-0.08426308873213938,0.08426308873213938
426,categorical__order_city_Adelaide,0.08338851693213077,0.08338851693213077
427,categorical__order_country_Honduras,-0.08023621183717836,0.08023621183717836
428,categorical__product_id_191,-0.0794484573950219,0.0794484573950219
429,categorical__order_city_Cape Town,0.07848742692326424,0.07848742692326424
430,categorical__product_id_1348,-0.07832708861212052,0.07832708861212052
431,categorical__category_name_CDs,-0.07832708861212052,0.07832708861212052
432,categorical__order_city_Lille,-0.0773916123577057,0.0773916123577057
433,categorical__order_city_Ankara,-0.07676030483309922,0.07676030483309922
434,categorical__order_city_Caloocan,-0.07566409529773402,0.07566409529773402
435,categorical__product_id_134,0.07527093653195292,0.07527093653195292
436,categorical__order_country_Filipinas,-0.07499234565870773,0.07499234565870773
437,categorical__product_id_1361,-0.07404761663535875,0.07404761663535875
438,categorical__category_name_Toys,-0.07404761663535875,0.07404761663535875
439,categorical__order_month_2017-07,0.07311281776671272,0.07311281776671272
440,categorical__department_name_Book Shop,0.07256938964505794,0.07256938964505794
441,categorical__category_name_Books,0.07256938964505794,0.07256938964505794
442,categorical__product_id_1346,0.07256938964505794,0.07256938964505794
443,categorical__product_id_810,-0.07247721082412831,0.07247721082412831
444,categorical__order_city_Tijuana,0.07130727503816234,0.07130727503816234
445,categorical__order_region_Southern Europe,-0.07125882075407036,0.07125882075407036
446,categorical__order_country_Estados Unidos,0.07015578931035346,0.07015578931035346
447,categorical__order_country_Italia,0.06839725912623301,0.06839725912623301
448,categorical__product_id_1353,0.06680741876344522,0.06680741876344522
449,categorical__category_name_Crafts,0.06680741876344522,0.06680741876344522
450,categorical__category_name_Golf Balls,0.06563566820800111,0.06563566820800111
451,categorical__product_id_886,-0.0653545718965997,0.0653545718965997
452,categorical__order_city_Wagga Wagga,0.06504112913571353,0.06504112913571353
453,categorical__order_month_2015-01,-0.06472959716963791,0.06472959716963791
454,categorical__order_city_Amsterdam,0.06432723682201914,0.06432723682201914
455,categorical__market_USCA,-0.06391806303863128,0.06391806303863128
456,categorical__product_id_897,0.06367087298880418,0.06367087298880418
457,categorical__order_city_Springfield,-0.06324144333244305,0.06324144333244305
458,categorical__order_month_2015-09,0.06236637159541044,0.06236637159541044
459,categorical__order_city_Izmir,0.06172678894617406,0.06172678894617406
460,categorical__order_day_of_week_Sunday,0.06135830372904839,0.06135830372904839
461,categorical__product_id_793,-0.061262838343162915,0.061262838343162915
462,categorical__department_name_Discs Shop,-0.06062912852003968,0.06062912852003968
463,categorical__order_day_of_week_Thursday,0.05994743356538792,0.05994743356538792
464,categorical__order_city_Bekasi,0.05913387558420333,0.05913387558420333
465,categorical__product_id_1350,0.05875140448339592,0.05875140448339592
466,categorical__category_name_Children's Clothing,0.05875140448339592,0.05875140448339592
467,categorical__order_city_Bordeaux,-0.05815408547332893,0.05815408547332893
468,categorical__order_region_Central Africa,-0.05813646375183301,0.05813646375183301
469,categorical__department_name_Golf,-0.05689691560380998,0.05689691560380998
470,categorical__order_month_2016-08,-0.05601660671955958,0.05601660671955958
471,categorical__order_country_Austria,-0.055567795855539996,0.055567795855539996
